id,address,categories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
AVwc-6fkkufWRAb51EsV,10300 Forest Hill Blvd,Pizza Place,Wellington,US,us/villageofwellington/wellington/10300foresthillblvd/-220003116,26.64711379,-80.20931934,http://www.yellowpages.com/wellington-fl/mip/california-pizza-kitchen-10213386/menu,14.29,14.29,USD,2016-06-04T20:37:33Z,"Created here in 1985. Our legendary BBQ sauce, smoked gouda, red onions and fresh cilantro transform this original to iconic",The Original Bbq Chicken Pizza,California Pizza Kitchen,33414,USD,25.0,40,Village Of Wellington
AVwce1nRByjofQCxetxl,1495 Union Ave,Mexican Restaurant,Memphis,US,us/mphs/memphis/1495unionave/1358805307,35.13593,-90.01149,http://www.yellowpages.com/memphis-tn/mip/little-italy-pizza-1349133/menu?lid=1349133,8.95,8.95,USD,2017-03-30T18:03:24Z,Mozzarella and Ricotta,White Pizza,Little Italy Pizza,38104,USD,0.0,25,Mphs
AVwcgJpG_7pvs4fzvxFA,1201 16th St,"Pizza Place, Bar, and Sports Bar LoDo,American Restaurant,Coffee Shop LoDo,Restaurants,Pizza Place, Bar, and Sports Bar,Pizza Place LoDo,Bakeries,Restaurant,American Restaurant LoDo,Bar,Dessert Shops,Pizza Place,Sports Bar,Burger Joint, American Restaurant, and Fast Food Restaurant LoDo",Denver,US,us/co/denver/120116thst/155764746,39.748593,-104.996471,http://www.citysearch.com/profile/menu/1822091?singlePlatformId=the-cheesecake-factory-10,12.95,12.95,USD,2017-04-18T01:15:22Z,"Mozzarella, fontina, red onion and cilantro",B.b.q. Chicken Pizza,Mellow Mushroom Pizza Bakers,80202,USD,25.0,40,CO
AVwcgJpG_7pvs4fzvxFA,1201 16th St,"Pizza Place, Bar, and Sports Bar LoDo,American Restaurant,Coffee Shop LoDo,Restaurants,Pizza Place, Bar, and Sports Bar,Pizza Place LoDo,Bakeries,Restaurant,American Restaurant LoDo,Bar,Dessert Shops,Pizza Place,Sports Bar,Burger Joint, American Restaurant, and Fast Food Restaurant LoDo",Denver,US,us/co/denver/120116thst/155764746,39.748593,-104.996471,http://www.citysearch.com/profile/menu/1822091?singlePlatformId=the-cheesecake-factory-10,12.95,12.95,USD,2017-04-18T01:15:22Z,"Canadian bacon, ham, fresh pineapple, red onion, tomato sauce and mozzarella",Hawaiian Pizza,Mellow Mushroom Pizza Bakers,80202,USD,25.0,40,CO
AVwcgJpG_7pvs4fzvxFA,1201 16th St,"Pizza Place, Bar, and Sports Bar LoDo,American Restaurant,Coffee Shop LoDo,Restaurants,Pizza Place, Bar, and Sports Bar,Pizza Place LoDo,Bakeries,Restaurant,American Restaurant LoDo,Bar,Dessert Shops,Pizza Place,Sports Bar,Burger Joint, American Restaurant, and Fast Food Restaurant LoDo",Denver,US,us/co/denver/120116thst/155764746,39.748593,-104.996471,http://www.citysearch.com/profile/menu/1822091?singlePlatformId=the-cheesecake-factory-10,12.95,12.95,USD,2017-04-18T01:15:22Z,"Roasted eggplant, red and yellow peppers, grilled onion, artichokes, kalamata olives, tomato and mozzarella. goat cheese on request",Roasted Vegetable Pizza,Mellow Mushroom Pizza Bakers,80202,USD,25.0,40,CO
AVwcgJpG_7pvs4fzvxFA,1201 16th St,"Pizza Place, Bar, and Sports Bar LoDo,American Restaurant,Coffee Shop LoDo,Restaurants,Pizza Place, Bar, and Sports Bar,Pizza Place LoDo,Bakeries,Restaurant,American Restaurant LoDo,Bar,Dessert Shops,Pizza Place,Sports Bar,Burger Joint, American Restaurant, and Fast Food Restaurant LoDo",Denver,US,us/co/denver/120116thst/155764746,39.748593,-104.996471,http://www.citysearch.com/profile/menu/1822091?singlePlatformId=the-cheesecake-factory-10,12.95,12.95,USD,2017-04-18T01:15:22Z,"Italian sausage, prosciutto, pepperoni, spicy salami, caramelized onions and tomato",Spicy Meat Pizza,Mellow Mushroom Pizza Bakers,80202,USD,25.0,40,CO
AVwcgJpG_7pvs4fzvxFA,1201 16th St,American Restaurant,Denver,US,us/co/denver/120116thst/155764746,39.748593,-104.996471,http://www.citysearch.com/profile/menu/1822091?singlePlatformId=the-cheesecake-factory-10,12.95,12.95,USD,2017-04-18T01:15:22Z,"Pepperoni, sausage, peppers, onions, mushrooms, mozzarella and tomato. kalamata olives on request",The Everything Pizza,Mellow Mushroom Pizza Bakers,80202,USD,25.0,40,CO
AVwciCoiIN2L1WUfl-g0,109 W County Ctr,"Pizza Place,Restaurants,Pizza,American Restaurants,Italian Restaurants,Take Out Restaurants",Saint Louis,US,us/countrylifeacres/saintlouis/109wcountyctr/-220003116,38.60194477,-90.44655146,http://www.citysearch.com/profile/menu/683476670?singlePlatformId=california-pizza-kitchen-7,16.29,16.29,USD,2016-05-29T00:04:42Z,"Our legendary BBQ sauce, smoked gouda, red onions and fresh cilantro transform this original to iconic.",The Original Bbq Chicken Pizza,California Pizza Kitchen,63131,USD,25.0,40,Country Life Acres
AVwcnvRLByjofQCxgVSA,4100 Crain Hwy,Pizza Place,Bowie,US,us/southbowie/bowie/4100crainhwy/-2093720949,38.94743,-76.71815,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QUubadp1hg5vD2AIkWup2uw7zqxKNVGC3o7O98l5UTfWe9AS_2rqSbipdTf8xuGZd63ZhcghUpfM6H8a4bASbwQvVNmQQ1SG7M6t0ia74tKDdlFaIGLq58jca30GbhZMoYY1z8bg7BT-fSm98jNI6SFcLAbXG8Ecb312ljDtpX9aj9xS5iSA9U9em5cY28ddh49iYTnfiWpsEhWFI4ZcI4OtWYvDT3cImdy4uzk8bokHr079G0_GLoiMkw63ypx5SnlMKIfnpf7uKO757IpUhdLi9W1SBh9-8SofksPv9DFlsu5u_Iaykyp6d0K5O7VSFMGjGmzy91u1C_fkmNfR2-4m0aooTkPg7_t67jgG9BVMv9YFJlUJN74snd1-7YSOu4s9nu9oAdXJ2ZsjIrKjjSbruSYhk50bVA&placement=listing_profile&cs_user=unknown&cs_session=4e1a310c3abda7a2b015dcc9f912df69f977f907,6.99,6.99,USD,2016-05-31T13:37:00Z,Veggie patch pizzaTM,Veggie Patch Pizza,Applebee's,20716,USD,25.0,40,South Bowie
AVwcq412_7pvs4fzxsDt,980 Razorback Dr,"Restaurants,American Restaurants",Houghton,US,us/mi/houghton/980razorbackdr/-2093720949,47.112873,-88.58666,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5QaTrQRGS9JDMLfigw2qpyK82267UwiAr0eDA-LlQ0tqRdj7cXb3qPEGPhHgMB65VbEuM6v-DB1kLlKxlAAlonKgJpVb9Muh8kBO8JTJibwqE0zHnNm4aGTd9IzOyqCcKLaopzMA6g2JSWENMAZj6BF4xRrmXNc9Zb9PqMmWWHa-X87e30quIC6XSWjn_hKSYjFD9GBjjnKwBo0oK1sNJTL51pN0YdMtdq4CUfg85hjrhcaIETnkbVtBx1uNmoDfg_m9INZz0HkUDam0tC58AdoR3QWNzLTnx8G9W-utrd9vL3zPuRZjShZCNlEYDD4ecdY1vJ6077Gk6yTnJ3U26mgxbPeiFR0kE3bdOH3bL7keuFVpLxiHzWPHPIqc0DWDQa74hZ_ZO7OspZhGJdWSR45ap2-k_6-CRMRhYVaxHxf339q0Sg8Ji7Rw&placement=listing_profile&cs_user=unknown&cs_session=2e1359d8056009f51dc3f1a0b40f11fe005666d2,6.99,6.99,USD,2016-04-05T03:16:18Z,Veggie patch pizzaTM,Veggie Patch Pizza,Applebee's,49931,USD,25.0,40,MI
AVwd5fG-IN2L1WUf0LoF,8701 Keystone Xing,"Restaurants,Dessert Shops,American Restaurant and Dessert Shop",Indianapolis,US,us/williamscrk/indianapolis/8701keystonexing/1788339867,39.760594,-86.121101,http://www.citysearch.com/profile/menu/36644899?singlePlatformId=cheesecake-factory-14,12.95,12.95,USD,2016-07-10T22:53:29Z,"Smoked gouda, red onion and cilantro",B.b.q. Chicken Pizza,The Cheesecake Factory,46240,USD,25.0,40,Williams Crk
AVwd5fG-IN2L1WUf0LoF,8701 Keystone Xing,"Restaurants,Dessert Shops,American Restaurant and Dessert Shop",Indianapolis,US,us/williamscrk/indianapolis/8701keystonexing/1788339867,39.760594,-86.121101,http://www.citysearch.com/profile/menu/36644899?singlePlatformId=cheesecake-factory-14,12.95,12.95,USD,2016-07-10T22:53:29Z,"Canadian bacon, ham, fresh pineapple, red onion, tomato sauce and mozzarella",Hawaiian Pizza,The Cheesecake Factory,46240,USD,25.0,40,Williams Crk
AVwd5fG-IN2L1WUf0LoF,8701 Keystone Xing,"Restaurants,Dessert Shops,American Restaurant and Dessert Shop",Indianapolis,US,us/williamscrk/indianapolis/8701keystonexing/1788339867,39.760594,-86.121101,http://www.citysearch.com/profile/menu/36644899?singlePlatformId=cheesecake-factory-14,12.95,12.95,USD,2016-07-10T22:53:29Z,"Roasted eggplant, red and yellow peppers, grilled onion, artichokes,  kalamata olives, tomato and mozzarella. goat cheese on request",Roasted Vegetable Pizza,The Cheesecake Factory,46240,USD,25.0,40,Williams Crk
AVwd5fG-IN2L1WUf0LoF,8701 Keystone Xing,"Restaurants,Dessert Shops,American Restaurant and Dessert Shop",Indianapolis,US,us/williamscrk/indianapolis/8701keystonexing/1788339867,39.760594,-86.121101,http://www.citysearch.com/profile/menu/36644899?singlePlatformId=cheesecake-factory-14,12.95,12.95,USD,2016-07-10T22:53:29Z,"Italian sausage, prosciutto, pepperoni, spicy salami, caramelized onions and tomato",Spicy Meat Pizza,The Cheesecake Factory,46240,USD,25.0,40,Williams Crk
AVwd5fG-IN2L1WUf0LoF,8701 Keystone Xing,Restaurant,Indianapolis,US,us/williamscrk/indianapolis/8701keystonexing/1788339867,39.760594,-86.121101,http://www.citysearch.com/profile/menu/36644899?singlePlatformId=cheesecake-factory-14,12.95,12.95,USD,2016-07-10T22:53:29Z,"Pepperoni, sausage, peppers, onions, mushrooms, mozzarella and tomato. kalamata olives on request",The Everything Pizza,The Cheesecake Factory,46240,USD,25.0,40,Williams Crk
AVwdbnCTkufWRAb551vv,8251 W Union Hills Dr,"Take Out Restaurants,Restaurants,Pizza,Pizza Place",Glendale,US,us/az/glendale/8251wunionhillsdr/572757474,33.65271,-112.23447,http://www.yellowpages.com/glendale-az/mip/papa-johns-pizza-466018284/menu,12.0,12,USD,"2016-04-20T11:43:41Z,2016-07-30T21:39:18Z","With up to 5 toppings, including specialties",Any Large Pizza,Papa John's Pizza,85308,USD,0.0,25,AZ
AVwdbnCTkufWRAb551vv,8251 W Union Hills Dr,"Pizza Place,Restaurant",Glendale,US,us/az/glendale/8251wunionhillsdr/572757474,33.65271,-112.23447,http://www.yellowpages.com/glendale-az/mip/papa-johns-pizza-466018284/menu,21.0,21,USD,"2016-04-20T11:43:41Z,2016-07-30T21:39:18Z",Three medium three topping pizzas,Medium Pizza Offers,Papa John's Pizza,85308,USD,0.0,25,AZ
AVwdcHktByjofQCxpIxp,1031 E Fairview Ave,"Restaurants,Catering,Italian Restaurant",Montgomery,US,us/al/montgomery/1031efairviewave/-1224545748,32.35228,-86.29122,http://www.citysearch.com/profile/menu/1447659?singlePlatformId=el-rey-burrito-lounge,9.95,9.95,USD,2016-04-03T00:41:35Z,Fresh steamed vegetables on a flour tortilla with marinara sauce topped with mozzarella cheese,Pizza Delmar,El Rey Burrito Lounge,36106,USD,25.0,40,AL
AVwdG8ff_7pvs4fz2WAL,1731 India St,"Restaurants,Bakeries,Coffeehouses,Italian Restaurant,Coffee Shop",San Diego,US,us/ca/sandiego/1731indiast/-1782992910,32.7235,-117.1682,http://www.citysearch.com/profile/menu/445314?singlePlatformId=cafe-zucchero,6.95,6.95,USD,2016-03-23T03:01:34Z,Kids Cheese Pizza,Pizza Formaggi,Cafe Zucchero,92101,USD,25.0,40,CA
AVwdG8ff_7pvs4fz2WAL,1731 India St,Restaurant,San Diego,US,us/ca/sandiego/1731indiast/-1782992910,32.7235,-117.1682,http://www.citysearch.com/profile/menu/445314?singlePlatformId=cafe-zucchero,6.95,6.95,USD,2016-03-23T03:01:34Z,Kids pepperoni Pizza,Pizza Pepperoni,Cafe Zucchero,92101,USD,25.0,40,CA
AVwdISL4ByjofQCxly5Z,1301 Williston Rd,"Take Out Restaurants,Sandwich Shops,Family Style Restaurants,Pasta,Pizza",South Burlington,US,us/queencity/southburlington/1301willistonrd/-500261185,44.466965,-73.171585,http://www.yellowpages.com/south-burlington-vt/mip/marcos-pizza-537721/menu?lid=537721,7.0,7,USD,2017-01-26T18:04:49Z,Traditional hand tossed pizza,Cheese Pizza,Marco's Pizza,5403,USD,25.0,40,Queen City
AVwdISL4ByjofQCxly5Z,1301 Williston Rd,"Take Out Restaurants,Sandwich Shops,Family Style Restaurants,Pasta,Pizza",South Burlington,US,us/queencity/southburlington/1301willistonrd/-500261185,44.466965,-73.171585,http://www.yellowpages.com/south-burlington-vt/mip/marcos-pizza-537721/menu?lid=537721,8.0,8,USD,2017-01-26T18:04:49Z,Traditional hand tossed pizza,One Item Pizza,Marco's Pizza,5403,USD,25.0,40,Queen City
AVwdISL4ByjofQCxly5Z,1301 Williston Rd,"Take Out Restaurants,Sandwich Shops,Family Style Restaurants,Pasta,Pizza",South Burlington,US,us/queencity/southburlington/1301willistonrd/-500261185,44.466965,-73.171585,http://www.yellowpages.com/south-burlington-vt/mip/marcos-pizza-537721/menu?lid=537721,11.5,11.5,USD,2017-01-26T18:04:49Z,Traditional hand tossed pizza stuffed with your topping choice,Stuffed Pizza,Marco's Pizza,5403,USD,25.0,40,Queen City
AVwdISL4ByjofQCxly5Z,1301 Williston Rd,"Take Out Restaurants,Sandwich Shops,Family Style Restaurants,Pasta,Pizza",South Burlington,US,us/queencity/southburlington/1301willistonrd/-500261185,44.466965,-73.171585,http://www.yellowpages.com/south-burlington-vt/mip/marcos-pizza-537721/menu?lid=537721,10.5,10.5,USD,2017-01-26T18:04:49Z,Traditional hand tossed pizza,Three Item Pizza,Marco's Pizza,5403,USD,25.0,40,Queen City
AVwdISL4ByjofQCxly5Z,1301 Williston Rd,"Pizza Place,Pizza",South Burlington,US,us/queencity/southburlington/1301willistonrd/-500261185,44.466965,-73.171585,http://www.yellowpages.com/south-burlington-vt/mip/marcos-pizza-537721/menu?lid=537721,9.0,9,USD,2017-01-26T18:04:49Z,Traditional hand tossed pizza,Two Item Pizza,Marco's Pizza,5403,USD,25.0,40,Queen City
AVwdKv9tByjofQCxmNDL,10835 Venice Blvd,"Latin American Restaurant,Bar,Pizza Place,Restaurants",Los Angeles,US,us/ca/losangeles/10835veniceblvd/1528564017,34.017106,-118.410224,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEYU6EWlgQncOzY4rjCW_IUiSW_2OIAuY4VKORe2R8ws1urZEsizjm_zhaRFfXRyRMTGdgWYTyZAo0r-n1dybO2mhdl4Zg1ZPjILp3C80w5EBbbEb_We_FRfWCPg1xjKfLuKoAOZX_5LwCwTJxIZyUSf_JuvdRcGkoI53MOIb-eZV_afiyklhoihTR6IKebWKOr0xu13Mc0taTiVAohHbxcfBG6WuqqAsw3k_NjEGlVFkyEwILvhrx0jYJBUP2W-JNk8rQdZvyu7W61WVXB1-tJBEmtJeyF-UEASYw9CEICaSemPm-bb8zv72UGmbGOJTixShSH6tOs5CeeTd1XJja1HsLuG4Vh3pUKLfmvs0-8VBFlQ5Y-pulaaeU03TNUBCEk6aax-mG8hXHhw8PYt-Ox73GuLJPelo0aZkIoHs1yyk&placement=listing_profile&cs_user=unknown&cs_session=adb5edf5635f7eb05be512075705507495473542,11.0,11,USD,"2015-10-23T03:34:35Z,2016-03-24T10:16:18Z","Blend of grilled vegetables, oregano, Roma tomato, zucchini, pepper, asparagus, and onions",Bbq Vegetarian Pizza,Bamboo Restaurant,90034,USD,25.0,40,CA
AVwdKv9tByjofQCxmNDL,10835 Venice Blvd,"Latin American Restaurant,Bar,Pizza Place,Restaurants",Los Angeles,US,us/ca/losangeles/10835veniceblvd/1528564017,34.017106,-118.410224,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEYU6EWlgQncOzY4rjCW_IUiSW_2OIAuY4VKORe2R8ws1urZEsizjm_zhaRFfXRyRMTGdgWYTyZAo0r-n1dybO2mhdl4Zg1ZPjILp3C80w5EBbbEb_We_FRfWCPg1xjKfLuKoAOZX_5LwCwTJxIZyUSf_JuvdRcGkoI53MOIb-eZV_afiyklhoihTR6IKebWKOr0xu13Mc0taTiVAohHbxcfBG6WuqqAsw3k_NjEGlVFkyEwILvhrx0jYJBUP2W-JNk8rQdZvyu7W61WVXB1-tJBEmtJeyF-UEASYw9CEICaSemPm-bb8zv72UGmbGOJTixShSH6tOs5CeeTd1XJja1HsLuG4Vh3pUKLfmvs0-8VBFlQ5Y-pulaaeU03TNUBCEk6aax-mG8hXHhw8PYt-Ox73GuLJPelo0aZkIoHs1yyk&placement=listing_profile&cs_user=unknown&cs_session=adb5edf5635f7eb05be512075705507495473542,13.0,13,USD,"2015-10-23T03:34:35Z,2016-03-24T10:16:18Z","Cajun shrimp with tomato sauce, parmesan cheese and fresh oregano",Caribbean Cajun Shrimp Pizza,Bamboo Restaurant,90034,USD,25.0,40,CA
AVwdKv9tByjofQCxmNDL,10835 Venice Blvd,"Latin American Restaurant,Bar,Pizza Place,Restaurants",Los Angeles,US,us/ca/losangeles/10835veniceblvd/1528564017,34.017106,-118.410224,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEYU6EWlgQncOzY4rjCW_IUiSW_2OIAuY4VKORe2R8ws1urZEsizjm_zhaRFfXRyRMTGdgWYTyZAo0r-n1dybO2mhdl4Zg1ZPjILp3C80w5EBbbEb_We_FRfWCPg1xjKfLuKoAOZX_5LwCwTJxIZyUSf_JuvdRcGkoI53MOIb-eZV_afiyklhoihTR6IKebWKOr0xu13Mc0taTiVAohHbxcfBG6WuqqAsw3k_NjEGlVFkyEwILvhrx0jYJBUP2W-JNk8rQdZvyu7W61WVXB1-tJBEmtJeyF-UEASYw9CEICaSemPm-bb8zv72UGmbGOJTixShSH6tOs5CeeTd1XJja1HsLuG4Vh3pUKLfmvs0-8VBFlQ5Y-pulaaeU03TNUBCEk6aax-mG8hXHhw8PYt-Ox73GuLJPelo0aZkIoHs1yyk&placement=listing_profile&cs_user=unknown&cs_session=adb5edf5635f7eb05be512075705507495473542,11.0,11,USD,"2015-10-23T03:34:35Z,2016-03-24T10:16:18Z","Grilled marinated breast of chicken, covered with fresh mozzarella",Chicken Pizza,Bamboo Restaurant,90034,USD,25.0,40,CA
AVwdKv9tByjofQCxmNDL,10835 Venice Blvd,"Latin American Restaurant,Bar,Pizza Place,Restaurants",Los Angeles,US,us/ca/losangeles/10835veniceblvd/1528564017,34.017106,-118.410224,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEYU6EWlgQncOzY4rjCW_IUiSW_2OIAuY4VKORe2R8ws1urZEsizjm_zhaRFfXRyRMTGdgWYTyZAo0r-n1dybO2mhdl4Zg1ZPjILp3C80w5EBbbEb_We_FRfWCPg1xjKfLuKoAOZX_5LwCwTJxIZyUSf_JuvdRcGkoI53MOIb-eZV_afiyklhoihTR6IKebWKOr0xu13Mc0taTiVAohHbxcfBG6WuqqAsw3k_NjEGlVFkyEwILvhrx0jYJBUP2W-JNk8rQdZvyu7W61WVXB1-tJBEmtJeyF-UEASYw9CEICaSemPm-bb8zv72UGmbGOJTixShSH6tOs5CeeTd1XJja1HsLuG4Vh3pUKLfmvs0-8VBFlQ5Y-pulaaeU03TNUBCEk6aax-mG8hXHhw8PYt-Ox73GuLJPelo0aZkIoHs1yyk&placement=listing_profile&cs_user=unknown&cs_session=adb5edf5635f7eb05be512075705507495473542,9.0,9,USD,"2015-10-23T03:34:35Z,2016-03-24T10:16:18Z",Special homemade sauce finished with freshly sliced tomatoes and basil,Fresh Tomato and Basil Pizza,Bamboo Restaurant,90034,USD,25.0,40,CA
